Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
781974,11/30/2019 17:23,581293000000.0,Donnelly LLC,entertainment,65.93,William,Thomas,M,39227 Mcpherson Shoals,Lahoma,OK,73754,36.385,-98.0727,1078,Podiatrist,10/6/1989,f1f107d6db20f76d228eeabacb77988b,1354296218,35.465398,-98.819133,0
937737,1/8/2020 17:36,4653880000000000.0,Dibbert-Green,entertainment,61.72,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",6/6/1999,a8b023b0612c922284eed043af002d6b,1357666563,37.496662,-86.764345,0
907828,12/28/2019 17:48,213187000000000.0,"O'Reilly, Mohr and Purdy",home,81.11,Craig,Franco,M,9242 Vanessa Ramp Apt. 525,Smithfield,IL,61477,40.4855,-90.2856,631,Futures trader,2/14/1973,1ee25bbe5401e201a135f9ad4a894478,1356716895,40.039452,-90.699215,0
784628,12/1/2019 4:04,4990490000000.0,"Johnston, Nikolaus and Maggio",grocery_net,73.17,Martin,Ford,M,56812 Francis Courts,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,12/13/1960,ec9459a7d8cb0c135e5a42332e8a72d2,1354334696,39.392946,-78.156633,0
662460,10/9/2019 7:56,5501080000000000.0,Fisher Inc,shopping_net,5.5,Wayne,Payne,M,587 Bradley Inlet Suite 281,Cuyahoga Falls,OH,44223,41.1464,-81.5107,47772,Equities trader,1/4/1966,e4b18127ccf31dd552d7609618aac64c,1349769383,40.364708,-82.388244,0
280139,5/18/2019 18:46,3533740000000000.0,"Schaefer, Fay and Hilll",entertainment,75.76,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,6/4/1997,3012e4ad7bcf553682df40a1c3138901,1337366812,32.198411,-78.86962,0
355572,6/15/2019 16:55,30263500000000.0,Frami Group,entertainment,6.63,Erik,Patterson,M,162 Jessica Row Apt. 072,Hatch,UT,84735,37.7175,-112.4777,258,Geoscientist,11/24/1961,2e84a2ac68a883ed00b8b5da1ff487d0,1339779308,38.295841,-112.881398,0
749979,11/17/2019 5:19,370349000000000.0,Thiel PLC,misc_pos,6.9,Christopher,Gomez,M,950 Dunn Squares,Tickfaw,LA,70466,30.5668,-90.482,8512,"Accountant, chartered public finance",9/3/1951,1ad89c52c6b3958e838e00581dde7995,1353129579,29.707404,-89.678221,0
374753,6/22/2019 13:24,3545110000000000.0,Daugherty LLC,kids_pets,39.88,Keith,Sanders,M,8030 Beck Motorway,Moorhead,MS,38761,33.4783,-90.5142,2870,Chartered public finance accountant,3/5/1999,bbf43ccd1c460893d3c10e1df1544474,1340371474,33.295812,-89.894567,0
17327,1/11/2019 9:42,630452000000.0,"Zieme, Bode and Dooley",gas_transport,52.53,Rachel,Daniels,F,561 Little Plain Apt. 738,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,6/12/1972,ee6794678ea8fd74420c965ddbdc9963,1326274920,46.983864,-85.945654,0
658472,10/7/2019 9:58,2254800000000000.0,Towne LLC,misc_pos,8.98,Barbara,Nelson,F,7337 Browning Falls Suite 027,Valdosta,GA,31605,30.946,-83.2474,94325,Educational psychologist,9/8/1987,b62c7286cf79f29bd5b9e601504a2685,1349603924,30.687135,-84.007069,0
700377,10/26/2019 12:10,6597890000000000.0,Quitzon-Goyette,home,14.14,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,33.6751,-98.6576,2317,Chief Technology Officer,8/23/1964,a346427f6b20d6c67f40da78317d2501,1351253434,34.032349,-97.848532,0
880383,12/22/2019 10:12,3560250000000000.0,Kuhic Inc,grocery_pos,87.14,Sarah,Scott,F,03090 Fisher Forges Apt. 200,Wichita,KS,67216,37.6223,-97.3136,409656,Textile designer,10/21/1930,d866ce502fa0b347a3daabdf8295de13,1356171157,37.981445,-97.262262,0
677181,10/15/2019 13:42,6011390000000000.0,"Roberts, Daniel and Macejkovic",kids_pets,28.07,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,2/5/1951,174771a38b8896b93f15d686e7901663,1350308525,39.638757,-80.524203,0
18941,1/12/2019 13:55,4.51283e+18,Champlin-Casper,home,85.63,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,7/25/1983,1af377a2fc25cc5209a019616c9fba59,1326376511,39.751688,-79.064949,0
735693,11/10/2019 15:53,342952000000000.0,Abshire PLC,entertainment,28.37,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,9/26/1987,ba584e87874a57d824dd6f0a8e649229,1352562789,41.939808,-73.508241,0
1034300,3/4/2020 11:07,5456710000000000.0,Bernhard Inc,gas_transport,61.25,Pamela,Matthews,F,36659 Smith Club Apt. 080,Llano,NM,87543,36.1486,-105.6648,247,Architectural technologist,10/24/1961,046859489901f7aae54685d829ba6112,1362395227,35.482776,-105.48413,0
389058,6/27/2019 12:19,3529600000000000.0,"Hauck, Dietrich and Funk",kids_pets,29.79,Pamela,Curtis,F,8969 Fuentes Station Apt. 291,Mill Creek,PA,17060,40.4679,-77.8967,1334,Archaeologist,12/17/1986,6b4bb81d55e364ae40571e814598a439,1340799593,41.352399,-77.209444,0
473202,7/27/2019 15:03,376445000000000.0,"Rodriguez, Yost and Jenkins",misc_net,1.33,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,2/11/1982,dcfc92fddeb2e1bd319c5e9256e39328,1343401394,40.69202,-100.636164,0
677891,10/15/2019 23:28,345934000000000.0,Auer LLC,personal_care,4.27,Carol,Dillon,F,27479 Reeves Dale,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,3/19/1985,c58b65b1c46c9709d6dba2bfb8824d04,1350343695,38.735997,-74.324095,0
826123,12/9/2019 18:22,348790000000000.0,Larkin Ltd,kids_pets,166.37,Megan,Murphy,F,53696 Laura Radial,Holstein,NE,68950,40.4542,-98.6538,331,Telecommunications researcher,8/19/1950,b7c788a952d97fa8cbb9848fa51b9f64,1355077349,41.375624,-97.90032,0
754087,11/18/2019 13:09,6011890000000000.0,"Schuppe, Nolan and Hoeger",shopping_pos,414.08,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,7/31/1975,985eab83a1c57c5bbc3e201b3338abb2,1353244147,38.802495,-104.315622,0
560344,8/26/2019 16:03,30197400000000.0,Bechtelar-Rippin,food_dining,24.56,April,Johnson,F,9727 Deleon Mountain,Creedmoor,NC,27522,36.1124,-78.6476,12335,Chief Strategy Officer,9/19/1987,9f74146caf13f3cb48eae8e26ad1594f,1345996992,36.857736,-79.572724,0
766731,11/24/2019 13:41,4378990000000000.0,Bode-Rempel,kids_pets,143.94,Travis,Hayes,M,1561 Chase Grove,Conway,NH,3818,43.9742,-71.1503,3807,Surgeon,10/25/1999,f51cd142cf8384f047c4af0cf2a6295a,1353764513,44.406057,-72.11495,0
499945,8/5/2019 9:26,371226000000000.0,McCullough Group,grocery_net,40.0,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,12/24/1974,62ef3afbf7157f244af7ad210224faaf,1344158818,38.992256,-88.473844,0
600885,9/12/2019 13:44,4119760000000000.0,Dietrich-Fadel,health_fitness,47.84,Melinda,Gutierrez,F,1497 West Gateway,Eureka,IL,61530,40.7152,-89.2706,6713,Archivist,8/19/1945,d223f2ee4b71b565457cc078169117ac,1347457472,41.414913,-89.267858,0
579260,9/2/2019 11:20,6597890000000000.0,Terry-Huel,shopping_net,3.13,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,33.6751,-98.6576,2317,Chief Technology Officer,8/23/1964,bff62b1ef5a715500740ce94aa905bd5,1346584856,34.357128,-98.798994,0
285911,5/20/2019 16:32,30263500000000.0,Brown Inc,kids_pets,76.1,Erik,Patterson,M,162 Jessica Row Apt. 072,Hatch,UT,84735,37.7175,-112.4777,258,Geoscientist,11/24/1961,dcf23ea2761c7df780a74f884e61ffc2,1337531532,37.914277,-112.205509,0
719028,11/3/2019 10:37,4.662e+18,"Kerluke, Considine and Macejkovic",misc_net,49.98,Linda,Park,F,24607 Charles Mountains,Fenelton,PA,16034,40.8555,-79.7372,2054,Operations geologist,8/4/1963,71ba792dfa2c6a9e4a285f6751778780,1351939047,40.37449,-79.306045,0
100304,2/28/2019 20:38,4342530000000000.0,Mohr-Bayer,shopping_net,6.98,Kevin,Elliott,M,1852 Vincent Isle Suite 328,Newark Valley,NY,13811,42.2281,-76.1625,4354,Further education lecturer,2/16/1994,3115234d4ac1ee420f268ceea7f7dd80,1330461497,42.344353,-76.502621,0
584328,9/4/2019 22:38,6506120000000000.0,Swift PLC,kids_pets,58.85,Kimberly,Rice,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,5/4/1984,b12eaaea7c83f3484ae6bfe8f42ee535,1346798329,32.234142,-96.294956,0
726040,11/6/2019 5:19,6011440000000000.0,"Greenfelder, Bartoletti and Davis",misc_net,243.24,Allison,Allen,F,40624 Rebecca Spurs,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,4/8/1993,fcd40144f8117bc877ad78acb913e359,1352179181,34.642492,-90.853381,0
103641,3/1/2019 17:34,375849000000000.0,Graham and Sons,health_fitness,8.97,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,12/15/1943,09fa6846be67dcb092cb9b390b533ad4,1330623290,31.67785,-97.440244,0
672317,10/13/2019 17:44,4119760000000000.0,Bogisich-Weimann,kids_pets,19.3,Melinda,Gutierrez,F,1497 West Gateway,Eureka,IL,61530,40.7152,-89.2706,6713,Archivist,8/19/1945,7a9f56679e604d4c51ac6a6c7478d25e,1350150279,40.694198,-89.178149,0
56808,2/3/2019 17:10,4003990000000000.0,"Hermiston, Russel and Price",food_dining,44.75,Chris,White,M,98897 Bennett Lodge,Bessemer,AL,35022,33.3224,-86.9657,71463,Radio broadcast assistant,2/8/1989,a344855367089f4519f76326ec954ca3,1328289015,33.204099,-86.13975,0
147813,3/20/2019 22:55,6506120000000000.0,Terry-Huel,shopping_net,19.43,Kimberly,Rice,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,5/4/1984,fc7b2fed4fd0999eda1a5d9db7224121,1332284108,31.563534,-95.892376,0
496441,8/4/2019 12:40,370877000000000.0,Kihn-Fritsch,food_dining,52.8,Sarah,Clark,F,25961 Beverly Union Apt. 042,North Wilkesboro,NC,28659,36.2017,-81.1286,21134,Dispensing optician,3/6/1984,31e8d28d642c953c30d4167f6a0d7b15,1344084036,36.179728,-81.136989,0
779990,11/30/2019 8:58,4514240000000000.0,McCullough Group,grocery_net,79.25,Janet,Carpenter,F,9870 Collins Flat,Laramie,WY,82072,41.4247,-105.4781,35371,"Pilot, airline",9/2/1988,b260a147427f1aed889b64ace99c3ed6,1354265912,42.170107,-106.369398,0
447422,7/18/2019 5:03,345934000000000.0,Brown PLC,misc_net,2.21,Carol,Dillon,F,27479 Reeves Dale,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,3/19/1985,ab16d86dd8e1dcc4042258568a3de122,1342587835,38.611921,-75.754997,0
